[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.4975728155339806,0.9631949882537196,0.9332321699544764,0.9951456310679612,0.0,0.9290030211480362,0.4975728155339806]	 ; [0.4975728155339806,0.9631949882537196,0.9332321699544764,0.9951456310679612,0,0.9290030211480362,0.4975728155339806]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.49983813531887344,0.96530165676774,0.9332124508915081,0.9996762706377469,0.0,0.9329305135951662,0.49983813531887344]	 ; [0.49983813531887344,0.96530165676774,0.9332321699544764,0.9996762706377469,0,0.9329305135951662,0.49983813531887344]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.49983813531887344,0.96530165676774,0.9332124508915081,0.9996762706377469,0.0,0.9329305135951662,0.49983813531887344]	 ; [0.49983813531887344,0.96530165676774,0.9332321699544764,0.9996762706377469,0,0.9329305135951662,0.49983813531887344]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.5,0.9654633536490076,0.9332326283987915,1.0,0.0,0.9332326283987915,0.5]	 ; [0.5,0.9654633536490076,0.9332326283987915,1.0,0,0.9332326283987915,0.5]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.5021005787577875,0.9654525558855713,0.9334945586457074,0.9996762706377469,0.004524886877828055,0.9332326283987915,0.5021005787577875]	 ; [0.5021005787577875,0.9654633536490076,0.9334945586457074,1.0,0.004524886877828055,0.9332326283987915,0.5021005787577875]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.49983813531887344,0.96530165676774,0.9332124508915081,0.9996762706377469,0.0,0.9329305135951662,0.49983813531887344]	 ; [0.5021005787577875,0.9654633536490076,0.9334945586457074,1.0,0.004524886877828055,0.9332326283987915,0.5021005787577875]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.5019387140766609,0.9652908067542214,0.9334744481403084,0.9993525412754937,0.004524886877828055,0.9329305135951662,0.5019387140766609]	 ; [0.5021005787577875,0.9654633536490076,0.9334945586457074,1.0,0.004524886877828055,0.9332326283987915,0.5021005787577875]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.5693154369101278,0.962962962962963,0.9420873335397956,0.9847847199741017,0.15384615384615385,0.9293051359516616,0.5693154369101278]	 ; [0.5693154369101278,0.9654633536490076,0.9420873335397956,1.0,0.15384615384615385,0.9332326283987915,0.5693154369101278]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.5649560768102844,0.9649621212121212,0.9414844471820142,0.989640660407899,0.14027149321266968,0.9329305135951662,0.5649560768102844]	 ; [0.5693154369101278,0.9654633536490076,0.9420873335397956,1.0,0.15384615384615385,0.9332326283987915,0.5693154369101278]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.6602621475414878,0.9476431251019409,0.9549638395792241,0.9404337973454192,0.38009049773755654,0.9030211480362538,0.6602621475414878]	 ; [0.6602621475414878,0.9654633536490076,0.9549638395792241,1.0,0.38009049773755654,0.9332326283987915,0.6602621475414878]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.6134239287268062,0.9605494329979236,0.9479823455233292,0.9734541922952412,0.25339366515837103,0.9253776435045318,0.6134239287268062]	 ; [0.6602621475414878,0.9654633536490076,0.9549638395792241,1.0,0.38009049773755654,0.9332326283987915,0.6602621475414878]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7066367448939384,0.947437582128778,0.9616538846282094,0.933635480738103,0.4796380090497738,0.9033232628398792,0.7066367448939384]	 ; [0.7066367448939384,0.9654633536490076,0.9616538846282094,1.0,0.4796380090497738,0.9332326283987915,0.7066367448939384]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7288925426447974,0.9509272936156244,0.9650233177881412,0.9372371400841152,0.5205479452054794,0.9096676737160121,0.7288925426447973]	 ; [0.7288925426447974,0.9654633536490076,0.9650233177881412,1.0,0.5205479452054794,0.9332326283987915,0.7288925426447973]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.676599494044698,0.9581380313560692,0.9567462879276953,0.9595338297183554,0.3936651583710407,0.9217522658610272,0.6765994940446981]	 ; [0.7288925426447974,0.9654633536490076,0.9650233177881412,1.0,0.5205479452054794,0.9332326283987915,0.7288925426447973]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7358939691124102,0.9538007863695938,0.9655058043117745,0.9423761735189382,0.5294117647058824,0.9148036253776435,0.7358939691124102]	 ; [0.7358939691124102,0.9654633536490076,0.9655058043117745,1.0,0.5294117647058824,0.9332326283987915,0.7358939691124102]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7373434270488334,0.9508466217326977,0.9659318637274549,0.9362253156361282,0.5384615384615384,0.9096676737160121,0.7373434270488333]	 ; [0.7373434270488334,0.9654633536490076,0.9659318637274549,1.0,0.5384615384615384,0.9332326283987915,0.7373434270488333]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.742037502801504,0.955824607329843,0.9662586834270592,0.9456134671414698,0.5384615384615384,0.918429003021148,0.742037502801504]	 ; [0.742037502801504,0.9654633536490076,0.9662586834270592,1.0,0.5384615384615384,0.9332326283987915,0.742037502801504]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7128934980876729,0.9597794356146611,0.961963589076723,0.9576051779935275,0.4681818181818182,0.9250755287009064,0.7128934980876729]	 ; [0.742037502801504,0.9654633536490076,0.9662586834270592,1.0,0.5384615384615384,0.9332326283987915,0.742037502801504]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7851674823377068,0.9476657252035222,0.9733788395904437,0.923276141146002,0.6470588235294118,0.904833836858006,0.7851674823377068]	 ; [0.7851674823377068,0.9654633536490076,0.9733788395904437,1.0,0.6470588235294118,0.9332326283987915,0.7851674823377068]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7512491412382868,0.9566213782943199,0.9675496688741722,0.9459371965037229,0.5565610859728507,0.9199395770392749,0.7512491412382868]	 ; [0.7851674823377068,0.9654633536490076,0.9733788395904437,1.0,0.6470588235294118,0.9332326283987915,0.7851674823377068]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7475372398629497,0.9593867232099168,0.9667981591058514,0.9520880543865329,0.5429864253393665,0.924773413897281,0.7475372398629496]	 ; [0.7851674823377068,0.9654633536490076,0.9733788395904437,1.0,0.6470588235294118,0.9332326283987915,0.7851674823377068]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7463592233009709,0.9547689282202557,0.9671314741035857,0.9427184466019417,0.55,0.9166163141993958,0.7463592233009708]	 ; [0.7851674823377068,0.9654633536490076,0.9733788395904437,1.0,0.6470588235294118,0.9332326283987915,0.7851674823377068]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.8082701865765105,0.945168839852892,0.9771863117870723,0.915182907089673,0.7013574660633484,0.9009063444108761,0.8082701865765107]	 ; [0.8082701865765105,0.9654633536490076,0.9771863117870723,1.0,0.7013574660633484,0.9332326283987915,0.8082701865765107]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.8116620206864527,0.9442491210447012,0.9778085991678225,0.912916801553901,0.7104072398190046,0.8993957703927492,0.8116620206864528]	 ; [0.8116620206864527,0.9654633536490076,0.9778085991678225,1.0,0.7104072398190046,0.9332326283987915,0.8116620206864528]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7893759640469977,0.952191894127378,0.9736129905277402,0.931693104564584,0.6470588235294118,0.9126888217522658,0.789375964046998]	 ; [0.8116620206864527,0.9654633536490076,0.9778085991678225,1.0,0.7104072398190046,0.9332326283987915,0.8116620206864528]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7268625058410445,0.9642568332524664,0.9634776987718164,0.9650372288766591,0.48868778280542985,0.9332326283987915,0.7268625058410445]	 ; [0.8116620206864527,0.9654633536490076,0.9778085991678225,1.0,0.7104072398190046,0.9332326283987915,0.8116620206864528]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.704766107678729,0.9623647229849782,0.9606578523057079,0.9640776699029127,0.44545454545454544,0.929607250755287,0.704766107678729]	 ; [0.8116620206864527,0.9654633536490076,0.9778085991678225,1.0,0.7104072398190046,0.9332326283987915,0.8116620206864528]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7767210944395411,0.9554202993913472,0.9715623954499832,0.9398058252427185,0.6136363636363636,0.9181268882175226,0.7767210944395411]	 ; [0.8116620206864527,0.9654633536490076,0.9778085991678225,1.0,0.7104072398190046,0.9332326283987915,0.8116620206864528]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.8077772683394147,0.9399899142713062,0.9776223776223776,0.9051472968598252,0.7104072398190046,0.8921450151057402,0.8077772683394149]	 ; [0.8116620206864527,0.9654633536490076,0.9778085991678225,1.0,0.7104072398190046,0.9332326283987915,0.8116620206864528]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.774602824360106,0.9576771653543307,0.9710578842315369,0.9446601941747573,0.6045454545454545,0.9220543806646526,0.774602824360106]	 ; [0.8116620206864527,0.9654633536490076,0.9778085991678225,1.0,0.7104072398190046,0.9332326283987915,0.8116620206864528]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.8035451603412769,0.9453998998163301,0.9765436357364609,0.9161812297734628,0.6909090909090909,0.9012084592145015,0.8035451603412769]	 ; [0.8116620206864527,0.9654633536490076,0.9778085991678225,1.0,0.7104072398190046,0.9332326283987915,0.8116620206864528]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7132951694012764,0.9676796912686927,0.9613418530351437,0.9741016510197474,0.45248868778280543,0.9392749244712991,0.7132951694012765]	 ; [0.8116620206864527,0.9676796912686927,0.9778085991678225,1.0,0.7104072398190046,0.9392749244712991,0.8116620206864528]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7554280670785526,0.9620706495197786,0.967900425810678,0.9563106796116505,0.5545454545454546,0.929607250755287,0.7554280670785525]	 ; [0.8116620206864527,0.9676796912686927,0.9778085991678225,1.0,0.7104072398190046,0.9392749244712991,0.8116620206864528]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.8024686927339605,0.9548834903321767,0.9753544902093181,0.9352541275493688,0.669683257918552,0.9175226586102719,0.8024686927339604]	 ; [0.8116620206864527,0.9676796912686927,0.9778085991678225,1.0,0.7104072398190046,0.9392749244712991,0.8116620206864528]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.8289339343078417,0.9328802039082413,0.9817596566523605,0.8886370993849142,0.7692307692307693,0.8806646525679759,0.8289339343078417]	 ; [0.8289339343078417,0.9676796912686927,0.9817596566523605,1.0,0.7692307692307693,0.9392749244712991,0.8289339343078417]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.794713836427317,0.9556325251525648,0.9741089441829186,0.937843962447394,0.6515837104072398,0.9187311178247735,0.794713836427317]	 ; [0.8289339343078417,0.9676796912686927,0.9817596566523605,1.0,0.7692307692307693,0.9392749244712991,0.8289339343078417]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7787221918675082,0.9588457124118708,0.9714285714285714,0.9465846552282292,0.6108597285067874,0.9241691842900303,0.7787221918675082]	 ; [0.8289339343078417,0.9676796912686927,0.9817596566523605,1.0,0.7692307692307693,0.9392749244712991,0.8289339343078417]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.8076337141425786,0.9513531462726217,0.976482617586912,0.927484622855293,0.6877828054298643,0.9114803625377643,0.8076337141425787]	 ; [0.8289339343078417,0.9676796912686927,0.9817596566523605,1.0,0.7692307692307693,0.9392749244712991,0.8289339343078417]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7885812890287973,0.960327868852459,0.9727665227499169,0.948203302039495,0.6289592760180995,0.9268882175226586,0.7885812890287973]	 ; [0.8289339343078417,0.9676796912686927,0.9817596566523605,1.0,0.7692307692307693,0.9392749244712991,0.8289339343078417]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7836863783465726,0.9605370885868676,0.9721577726218097,0.9491909385113269,0.6181818181818182,0.927190332326284,0.7836863783465725]	 ; [0.8289339343078417,0.9676796912686927,0.9817596566523605,1.0,0.7692307692307693,0.9392749244712991,0.8289339343078417]
