[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.6205067296570246,0.4390735146022155,0.9897843359818388,0.28210934972500806,0.958904109589041,0.3268882175226586,0.6205067296570246]	 ; [0.6205067296570246,0.4390735146022155,0.9897843359818388,0.28210934972500806,0.958904109589041,0.3268882175226586,0.6205067296570246]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.5987374554872127,0.3298188699648554,1.0,0.19747491097442538,1.0,0.2510574018126888,0.5987374554872127]	 ; [0.6205067296570246,0.4390735146022155,1.0,0.28210934972500806,1.0,0.3268882175226586,0.6205067296570246]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.5314163965259885,0.14956625785222852,0.984251968503937,0.08093234056328909,0.9819004524886877,0.14108761329305136,0.5314163965259884]	 ; [0.6205067296570246,0.4390735146022155,1.0,0.28210934972500806,1.0,0.3268882175226586,0.6205067296570246]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.5657170605373907,0.2323319027181688,1.0,0.13143412107478147,1.0,0.18942598187311177,0.5657170605373907]	 ; [0.6205067296570246,0.4390735146022155,1.0,0.28210934972500806,1.0,0.3268882175226586,0.6205067296570246]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.6042408546455164,0.345030806321993,1.0,0.20848170929103269,1.0,0.26132930513595165,0.6042408546455164]	 ; [0.6205067296570246,0.4390735146022155,1.0,0.28210934972500806,1.0,0.3268882175226586,0.6205067296570246]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.6246358044674651,0.39906711583311744,1.0,0.2492716089349304,1.0,0.2993957703927492,0.6246358044674651]	 ; [0.6246358044674651,0.4390735146022155,1.0,0.28210934972500806,1.0,0.3268882175226586,0.6246358044674651]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.5919391388798965,0.3106371342630571,1.0,0.18387827775979282,1.0,0.23836858006042297,0.5919391388798965]	 ; [0.6246358044674651,0.4390735146022155,1.0,0.28210934972500806,1.0,0.3268882175226586,0.6246358044674651]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.6482717100088037,0.46268656716417916,0.9989258861439313,0.3010683068954354,0.995475113122172,0.3474320241691843,0.6482717100088037]	 ; [0.6482717100088037,0.46268656716417916,1.0,0.3010683068954354,1.0,0.3474320241691843,0.6482717100088037]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.6855115729584907,0.559720605355064,0.9966832504145937,0.3891226934282939,0.9819004524886877,0.4287009063444109,0.6855115729584909]	 ; [0.6855115729584907,0.559720605355064,1.0,0.3891226934282939,1.0,0.4287009063444109,0.6855115729584909]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.6424445814882469,0.44879518072289154,0.9988826815642458,0.2894140498543218,0.995475113122172,0.3365558912386707,0.6424445814882469]	 ; [0.6855115729584907,0.559720605355064,1.0,0.3891226934282939,1.0,0.4287009063444109,0.6855115729584909]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7222511934773661,0.6279121366762813,0.9978843441466855,0.45807704758821627,0.9864253393665159,0.4933534743202417,0.7222511934773661]	 ; [0.7222511934773661,0.6279121366762813,1.0,0.45807704758821627,1.0,0.4933534743202417,0.7222511934773661]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7259777432401354,0.638943894389439,0.9972527472527473,0.47005503399158305,0.9819004524886877,0.5042296072507553,0.7259777432401354]	 ; [0.7259777432401354,0.638943894389439,1.0,0.47005503399158305,1.0,0.5042296072507553,0.7259777432401354]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7655928214180643,0.7438284095507892,0.9924406047516199,0.594822006472492,0.9363636363636364,0.6175226586102719,0.7655928214180642]	 ; [0.7655928214180643,0.7438284095507892,1.0,0.594822006472492,1.0,0.6175226586102719,0.7655928214180642]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7435321872751796,0.704777800959733,0.9923619271445359,0.5464251051439664,0.9406392694063926,0.5725075528700906,0.7435321872751794]	 ; [0.7655928214180643,0.7438284095507892,1.0,0.594822006472492,1.0,0.6175226586102719,0.7655928214180642]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7194958318013561,0.6185474860335195,0.9985569985569985,0.4480414373583684,0.9909502262443439,0.48429003021148037,0.7194958318013561]	 ; [0.7655928214180643,0.7438284095507892,1.0,0.594822006472492,1.0,0.6175226586102719,0.7655928214180642]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7738158281847602,0.7698396991886008,0.9908303616912888,0.6294498381877023,0.9181818181818182,0.6486404833836859,0.7738158281847602]	 ; [0.7738158281847602,0.7698396991886008,1.0,0.6294498381877023,1.0,0.6486404833836859,0.7738158281847602]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7742791997646367,0.7802391687904332,0.989557434112382,0.6440129449838188,0.9045454545454545,0.6613293051359517,0.7742791997646367]	 ; [0.7742791997646367,0.7802391687904332,1.0,0.6440129449838188,1.0,0.6613293051359517,0.7742791997646367]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[0.7689121668041174,0.7521608040201004,0.9920466595970308,0.6056976367756556,0.9321266968325792,0.6274924471299094,0.7689121668041174]	 ; [0.7742791997646367,0.7802391687904332,1.0,0.6440129449838188,1.0,0.6613293051359517,0.7742791997646367]
